"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating,"Broad Bean
Origin"
A. Morin,Agua Grande,63%,France,3.75,Sao Tome
A. Morin,Kpime,70%,France,2.75,Togo
A. Morin,Atsane,70%,France,3.0,Togo
A. Morin,Akata,70%,France,3.5,Togo
A. Morin,Quilla,70%,France,3.5,Peru
A. Morin,Carenero,70%,France,2.75,Venezuela
A. Morin,Cuba,70%,France,3.5,Cuba
A. Morin,Sur del Lago,70%,France,3.5,Venezuela
A. Morin,Puerto Cabello,70%,France,3.75,Venezuela
A. Morin,Pablino,70%,France,4.0,Peru
A. Morin,Panama,70%,France,2.75,Panama
A. Morin,Madagascar,70%,France,3.0,Madagascar
A. Morin,Brazil,70%,France,3.25,Brazil
A. Morin,Equateur,70%,France,3.75,Ecuador
A. Morin,Colombie,70%,France,2.75,Colombia
A. Morin,Birmanie,70%,France,3.0,Burma
A. Morin,Papua New Guinea,70%,France,3.25,Papua New Guinea
A. Morin,Chuao,70%,France,4.0,Venezuela
A. Morin,Piura,70%,France,3.25,Peru
A. Morin,Chanchamayo Province,70%,France,3.5,Peru
A. Morin,Chanchamayo Province,63%,France,4.0,Peru
A. Morin,Bolivia,70%,France,3.5,Bolivia
A. Morin,Peru,63%,France,3.75,Peru
Acalli,"Chulucanas, El Platanal",70%,U.S.A.,3.75,Peru
Acalli,"Tumbes, Norandino",70%,U.S.A.,3.75,Peru
Adi,Vanua Levu,60%,Fiji,2.75,Fiji
Adi,"Vanua Levu, Toto-A",80%,Fiji,3.25,Fiji
Adi,Vanua Levu,88%,Fiji,3.5,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",72%,Fiji,3.5,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",55%,Ecuador,2.75,Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",70%,Ecuador,3.0,Ecuador
Ah Cacao,Tabasco,70%,Mexico,3.0,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",75%,Switzerland,3.75,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",75%,Switzerland,2.75,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",75%,Switzerland,2.75,Brazil
Alain Ducasse,Trinite,65%,France,2.75,Trinidad
Alain Ducasse,Vietnam,75%,France,2.75,Vietnam
Alain Ducasse,Madagascar,75%,France,3.0,Madagascar
Alain Ducasse,Chuao,75%,France,2.5,Venezuela
Alain Ducasse,"Piura, Perou",75%,France,2.5,Peru
Alexandre,"Winak Coop, Napo",70%,Netherlands,3.5,Ecuador
Alexandre,"La Dalia, Matagalpa",70%,Netherlands,3.5,Nicaragua
Alexandre,Tien Giang,70%,Netherlands,3.5,Vietnam
Alexandre,"Makwale Village, Kyela",70%,Netherlands,3.5,Tanzania
Altus aka Cao Artisan,Momotombo,60%,U.S.A.,2.75,Nicaragua
Altus aka Cao Artisan,Acopagro,60%,U.S.A.,3.0,Peru
Altus aka Cao Artisan,CIAAB Coop,60%,U.S.A.,2.5,Bolivia
Altus aka Cao Artisan,Villa Andina,60%,U.S.A.,2.5,Peru
Altus aka Cao Artisan,Gruppo Salinas,60%,U.S.A.,2.75,Ecuador
Altus aka Cao Artisan,Sur del Lago,60%,U.S.A.,2.5,Venezuela
Altus aka Cao Artisan,Conacado,60%,U.S.A.,3.0,Dominican Republic
Altus aka Cao Artisan,Bolivia,80%,U.S.A.,3.25,Bolivia
Altus aka Cao Artisan,Bolivia,60%,U.S.A.,3.0,Bolivia
Altus aka Cao Artisan,Peru,60%,U.S.A.,3.25,Peru
Amano,Morobe,70%,U.S.A.,4.0,Papua New Guinea
Amano,Dos Rios,70%,U.S.A.,3.75,Dominican Republic
Amano,Guayas,70%,U.S.A.,4.0,Ecuador
Amano,Chuao,70%,U.S.A.,3.0,Venezuela
Amano,Montanya,70%,U.S.A.,3.0,Venezuela
Amano,"Bali, Jembrana",70%,U.S.A.,2.75,Indonesia
Amano,Madagascar,70%,U.S.A.,3.5,Madagascar
Amano,Cuyagua,70%,U.S.A.,3.0,Venezuela
Amano,Ocumare,70%,U.S.A.,3.75,Venezuela
Amatller (Simon Coll),Ghana,70%,Spain,3.0,Ghana
Amatller (Simon Coll),Ecuador,70%,Spain,2.75,Ecuador
Amatller (Simon Coll),Ecuador,85%,Spain,2.75,Ecuador
Amatller (Simon Coll),Ghana,85%,Spain,3.0,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",72%,Peru,3.25,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",73%,Peru,3.5,Peru
Ambrosia,Belize,64%,Canada,3.0,Belize
Ambrosia,Madagascar,66%,Canada,3.25,Madagascar
Ambrosia,Dominican Republic,75%,Canada,3.25,Dominican Republic
Ambrosia,Papua New Guinea,63%,Canada,3.25,Papua New Guinea
Ambrosia,Venezuela,70%,Canada,3.25,Venezuela
Ambrosia,Peru,68%,Canada,3.5,Peru
Amedei,"Piura, Blanco de Criollo",70%,Italy,3.75,Peru
Amedei,Porcelana,70%,Italy,4.0,Venezuela
Amedei,Nine,75%,Italy,4.0, 
Amedei,Chuao,70%,Italy,5.0,Venezuela
Amedei,Ecuador,70%,Italy,3.0,Ecuador
Amedei,Jamaica,70%,Italy,3.0,Jamaica
Amedei,Grenada,70%,Italy,3.5,Grenada
Amedei,Venezuela,70%,Italy,3.75,Venezuela
Amedei,Madagascar,70%,Italy,4.0,Madagascar
Amedei,Trinidad,70%,Italy,3.5,Trinidad
Amedei,Toscano Black,63%,Italy,3.5, 
Amedei,Toscano Black,70%,Italy,5.0, 
Amedei,Toscano Black,66%,Italy,4.0, 
AMMA,Catongo,75%,Brazil,3.25,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",85%,Brazil,2.75,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",50%,Brazil,3.75,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",75%,Brazil,3.75,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",60%,Brazil,4.0,Brazil
Anahata,Elvesia,75%,U.S.A.,3.0,Dominican Republic
Animas,Alto Beni,75%,U.S.A.,3.5,Bolivia
Ara,Madagascar,75%,France,3.0,Madagascar
Ara,Chiapas,72%,France,2.5,Mexico
Ara,Equateur,75%,France,2.75,Ecuador
Ara,Trincheras,75%,France,3.0,Venezuela
Arete,San Juan,70%,U.S.A.,3.5,Trinidad
Arete,Kokoa Kamili,70%,U.S.A.,3.75,Tanzania
Arete,Tien Giang,73%,U.S.A.,3.5,Vietnam
Arete,Hacienda Victoria,70%,U.S.A.,3.25,Ecuador
Arete,Costa Esmeraldas,70%,U.S.A.,3.25,Ecuador
Arete,Lachua,70%,U.S.A.,3.5,Guatemala
Arete,Rugoso,70%,U.S.A.,3.75,Nicaragua
Arete,"La Masica, FHIA",70%,U.S.A.,3.5,Honduras
Arete,"Coto Brus, Terciopelo",70%,U.S.A.,4.0,Costa Rica
Arete,Phantom,70%,U.S.A.,4.0,Peru
Arete,Elvesia,70%,U.S.A.,3.75,Dominican Republic
Arete,Matasawalevu,70%,U.S.A.,3.25,Fiji
Arete,Lam Dong,73%,U.S.A.,3.25,Vietnam
Arete,Fazenda Camboa,70%,U.S.A.,3.5,Brazil
Arete,Nacional,68%,U.S.A.,3.5,Peru
